Symbol,Sector
INDORAMA,Consumer Cyclical
ASHAPURMIN,Basic Materials
UGROCAP,Financial Services
AXISCADES,Industrials
HITECH,Basic Materials
PUNJABCHEM,Basic Materials
SURYODAY,Financial Services
EKC,Industrials
JASH,Industrials
DPSCLTD,Utilities
TARC,Real Estate
BHARATWIRE,Basic Materials
EXCELINDUS,Basic Materials
SPECIALITY,Consumer Cyclical
ANUP,Industrials
SKIPPER,Industrials
AJMERA,Real Estate
SHALPAINTS,Basic Materials
GMBREW,Consumer Defensive
SANGAMIND,Consumer Cyclical
SHIVALIK,
GMRP&UI,Energy
PENIND,Industrials
GEOJITFSL,Financial Services
BCLIND,Consumer Defensive
DBOL,Consumer Defensive
SHAILY,Basic Materials
LIKHITHA,Energy
MADRASFERT,Basic Materials
STEELCAS,Basic Materials
MKPL,Consumer Defensive
ROSSELLIND,Industrials
KITEX,Consumer Cyclical
PRAKASH,Basic Materials
ARTEMISMED,
RICOAUTO,Consumer Cyclical
OMAXE,Real Estate
CENTUM,Technology
ROTO,Industrials
PRECAM,Consumer Cyclical
BIGBLOC,Industrials
SHREDIGCEM,Basic Materials
CLSEL,
GTLINFRA,Technology
PGIL,Consumer Cyclical
UTTAMSUGAR,Consumer Defensive
AVADHSUGAR,Consumer Defensive
PITTIENG,Industrials
5PAISA,Financial Services
NAHARSPING,Consumer Cyclical
SPCENET,Financial Services
SPORTKING,Consumer Cyclical
DEEPINDS,Energy
PARAGMILK,Consumer Defensive
AGARIND,Basic Materials
CONTROLPR,Industrials
BAJAJHCARE,Healthcare
KAMDHENU,Basic Materials
CHEMCON,Basic Materials
GICHSGFIN,Financial Services
MEDICAMEQ,Healthcare
DLINKINDIA,Technology
ARIHANTSUP,Real Estate
VHL,Financial Services
PFS,Financial Services
HEXATRADEX,Financial Services
RILINFRA,
CAPACITE,Industrials
SPAL,Consumer Cyclical
NCLIND,Basic Materials
63MOONS,Technology
NAVKARCORP,Industrials
